,Film ID,01-001,Title,E1V1001 Kodak Elite 100 Extra Colour 03/2002  05.04.2001,Date and time film loaded,5/4/2001,17:26:39,Frame count,36,ISO (DX),100
,Remarks,Der erste Testfilm. Wohnung und Straﬂe Stargarder.

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,14mm,3.5,="1/20",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:27:26,OFF,,,
,2,14mm,3.5,="1/20",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:27:34,OFF,,,
,3,14mm,3.5,="1/15",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:28:49,OFF,,,
,4,14mm,3.5,="1/8",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:29:02,OFF,,,
,5,14mm,3.5,="1/40",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:29:26,OFF,,,
,6,14mm,3.5,="1/125",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:29:34,OFF,,,
,7,14mm,3.5,="1/200",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:29:45,OFF,,,
,8,14mm,3.5,="1/160",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:29:53,OFF,,,
,9,14mm,3.5,="1/40",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:30:03,OFF,,,
,10,14mm,3.5,="1/30",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:30:19,OFF,,,
,11,14mm,3.5,="1/40",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:30:36,OFF,,,
,12,14mm,3.5,="1/125",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:30:50,OFF,,,
,13,14mm,3.5,="1/125",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:31:06,OFF,,,
,14,14mm,3.5,="1/200",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:31:26,OFF,,,
,15,14mm,3.5,="1/25",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:32:21,OFF,,,
,16,20mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:34:34,OFF,,,
,17,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:35:17,OFF,,,
,18,20mm,2.8,="1/60",4.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:35:38,OFF,,,
,19,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:35:53,OFF,,,
,20,20mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:36:11,OFF,,,
,21,20mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:36:33,OFF,,,
,22,20mm,2.8,="1/60",3.2,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:37:11,OFF,,,
,23,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:38:10,OFF,,,
,24,90mm,2.8,="1/320",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,5/4/2001,17:43:33,OFF,,,
