,Film ID,01-016,Title,,Date and time film loaded,16/4/2001,09:54:45,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,400mm,5.6,="1/100",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:57:12,OFF,,,
,2,400mm,5.6,="1/100",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:57:42,OFF,,,
,3,380mm,5.6,="1/100",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:58:08,OFF,,,
,4,380mm,5.6,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:58:39,OFF,,,
,5,380mm,5.6,="1/500",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:58:50,OFF,,,
,6,380mm,5.6,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:59:08,OFF,,,
,7,165mm,2.8,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,12:39:31,OFF,,,
,8,200mm,2.8,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,12:39:37,OFF,,,
,9,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,12:40:17,OFF,,,
,10,195mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,12:40:26,OFF,,,
,11,108mm,2.8,="1/320",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,12:40:30,OFF,,,
,12,400mm,5.6,="1/400",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:21:57,OFF,,,
,13,220mm,5.6,="1/400",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:22:03,OFF,,,
,14,390mm,5.6,="1/160",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:22:28,OFF,,,
,15,180mm,5.6,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:22:40,OFF,,,
,16,400mm,5.6,="1/160",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:23:03,OFF,,,
,17,400mm,5.6,="1/160",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,13:23:21,OFF,,,
,18,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,16/4/2001,17:03:00,OFF,,,
,19,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,16/4/2001,17:03:16,OFF,,,
,20,20mm,2.8,="1/60",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,16/4/2001,17:03:49,OFF,,,
,21,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,16/4/2001,17:04:19,OFF,,,
,22,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:05:09,OFF,,,
,23,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:05:31,OFF,,,
,24,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:05:53,OFF,,,
,25,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:06:09,OFF,,,
,26,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:06:45,OFF,,,
,27,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:10:22,OFF,,,
,28,20mm,2.8,="1/50",7.1,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,16/4/2001,17:10:59,OFF,,,
,29,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,16/4/2001,17:12:29,OFF,,,
,30,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:12:40,OFF,,,
,31,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:14:15,OFF,,,
,32,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:15:06,OFF,,,
,33,20mm,2.8,="1/25",10,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:19:47,OFF,,,
,34,75mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:44:48,OFF,,,
,35,85mm,2.8,="1/640",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:47:19,OFF,,,
,36,85mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:47:30,OFF,,,
