,Film ID,01-081,Title,E1V1081,Date and time film loaded,1/12/2001,12:31:51,Frame count,36,ISO (DX),100
,Remarks,Demo Wehrmachtsausstellung, Oranienburger Str.

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,135mm,2.0,="1/400",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:44:20,OFF,,,
,2,135mm,2.0,="1/250",2.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:44:27,OFF,,,
,3,135mm,2.0,="1/200",2.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:46:20,OFF,,,
,4,135mm,2.0,="1/400",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:46:26,OFF,,,
,5,135mm,2.0,="1/320",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:46:50,OFF,,,
,6,135mm,2.0,="1/320",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:47:05,OFF,,,
,7,135mm,2.0,="1/200",2.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:51:23,OFF,,,
,8,135mm,2.0,="1/640",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:52:21,OFF,,,
,9,135mm,2.0,="1/250",2.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:53:41,OFF,,,
,10,135mm,2.0,="1/320",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:57:35,OFF,,,
,11,135mm,2.0,="1/125",2.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:57:49,OFF,,,
,12,135mm,2.0,="1/200",2.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:57:55,OFF,,,
,13,135mm,2.0,="1/160",2.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:57:57,OFF,,,
,14,135mm,2.0,="1/200",2.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:58:19,OFF,,,
,15,135mm,2.0,="1/640",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:59:03,OFF,,,
,16,135mm,2.0,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:59:22,OFF,,,
,17,135mm,2.0,="1/400",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:59:30,OFF,,,
,18,135mm,2.0,="1/400",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,12:59:34,OFF,,,
,19,135mm,2.0,="1/250",2.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:00:06,OFF,,,
,20,135mm,2.0,="1/250",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:10:51,OFF,,,
,21,135mm,2.0,="1/800",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:11:13,OFF,,,
,22,135mm,2.0,="1/400",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:13:39,OFF,,,
,23,135mm,2.0,="1/1000",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:14:39,OFF,,,
,24,135mm,2.0,="1/250",2.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:25:43,OFF,,,
,25,135mm,2.0,="1/500",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:26:01,OFF,,,
,26,135mm,2.0,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,1/12/2001,13:26:16,OFF,,,
,27,135mm,2.0,="1/160",3.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:31:28,OFF,,,
,28,135mm,2.0,="1/160",10,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:31:44,OFF,,,
,29,135mm,2.0,="1/125",2.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:39:50,OFF,,,
,30,135mm,2.0,="1/160",2.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:39:59,OFF,,,
,31,135mm,2.0,="1/125",2.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:40:58,OFF,,,
,32,135mm,2.0,="1/160",3.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:42:39,OFF,,,
,33,135mm,2.0,="1/160",6.3,,0.0,0.0,OFF,Spot,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:43:22,OFF,,,
,34,135mm,2.0,="1/160",3.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:43:57,OFF,,,
,35,135mm,2.0,="1/160",3.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:44:33,OFF,,,
,36,135mm,2.0,="1/160",3.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,1/12/2001,13:44:37,OFF,,,
