,Film ID,01-088,Title,E1V1088,Date and time film loaded,18/1/2002,20:28:47,Frame count,36,ISO (DX),100
,Remarks,Rammelmanns Geburtstag. Blattmanns. Stargarder.

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,33mm,2.8,="1/60",4.5,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,20:59:33,OFF,,,
,2,55mm,2.8,="1/60",3.5,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,21:00:25,OFF,,,
,3,28mm,2.8,="1/60",5.0,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,21:00:48,OFF,,,
,4,28mm,2.8,="1/60",7.1,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,22:04:47,OFF,,,
,5,48mm,2.8,="1/60",6.3,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,22:05:11,OFF,,,
,6,45mm,2.8,="1/60",11,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,22:06:32,OFF,,,
,7,40mm,2.8,="1/60",5.0,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,22:07:47,OFF,,,
,8,40mm,2.8,="1/60",5.6,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/1/2002,23:01:25,OFF,,,
,9,70mm,2.8,="1/60",14,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/1/2002,21:14:21,OFF,,,
,10,70mm,2.8,="1/80",4.0,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,19/1/2002,21:15:02,OFF,,,
,11,70mm,2.8,="1/80",4.0,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,19/1/2002,21:15:08,OFF,,,
,12,70mm,2.8,="1/100",4.0,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,19/1/2002,21:15:20,OFF,,,
,13,70mm,2.8,="1/100",4.0,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,19/1/2002,21:15:38,OFF,,,
