*,Film ID,00-000,Title,,Date and time film loaded,,,Frame count,36,ISO (DX),
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
*,1,1mm,1.0,="0.7""",1.4,160,+0.7,-5.3,E-TTL,Center Averaging,Shutter-speed-priority AE,2-sec. self-timer,AI Servo AF,,7/7/2002,01:14:19,ON,,,"huhu, hihih, ""hallo"""
*,2,,,="4""",,,,,, ,,,,,,,,,,
*,3,,,="3.2""",,,,,, ,,,,,,,,,,
*,4,,,="2.5""",,,,,, ,,,,,,,,,,
*,5,,,="1.3""",,,,,, ,,,,,,,,,,
*,6,,,="0.3""",,,,,, ,,,,,,,,,,
,7,,,,,,,,, ,,,,,,,,,,
,8,,,,,,,,, ,,,,,,,,,,
,9,,,,,,,,, ,,,,,,,,,,
,10,,,,,,,,, ,,,,,,,,,,
,11,,,,,,,,, ,,,,,,,,,,
,12,,,,,,,,, ,,,,,,,,,,
,13,,,,,,,,, ,,,,,,,,,,
,14,,,,,,,,, ,,,,,,,,,,
,15,,,,,,,,, ,,,,,,,,,,
,16,,,,,,,,, ,,,,,,,,,,
,17,,,,,,,,, ,,,,,,,,,,
,18,,,,,,,,, ,,,,,,,,,,
,19,,,,,,,,, ,,,,,,,,,,
,20,,,,,,,,, ,,,,,,,,,,
,21,,,,,,,,, ,,,,,,,,,,
,22,,,,,,,,, ,,,,,,,,,,
,23,,,,,,,,, ,,,,,,,,,,
,24,,,,,,,,, ,,,,,,,,,,
,25,,,,,,,,, ,,,,,,,,,,
,26,,,,,,,,, ,,,,,,,,,,
,27,,,,,,,,, ,,,,,,,,,,
,28,,,,,,,,, ,,,,,,,,,,
,29,,,,,,,,, ,,,,,,,,,,
,30,,,,,,,,, ,,,,,,,,,,
,31,,,,,,,,, ,,,,,,,,,,
,32,,,,,,,,, ,,,,,,,,,,
,33,,,,,,,,, ,,,,,,,,,,
,34,,,,,,,,, ,,,,,,,,,,
,35,,,,,,,,, ,,,,,,,,,,
,36,,,,,,,,, ,,,,,,,,,,
