"FILENAME","FILMNUM","FRAMENUM","ME","DATE","TIME","TV","TVOU","AV","AVOU","PROG","AEB","METERING","ISO","+/-","FLASH","CURTAIN","FOCAL LENGTH","LENS SPEED","ZOOMMIN","ZOOMMAX","NOTE"
"E601100","0100"," 1 ","","Sun  3 Apr 1994","19:20:07"," 0""7"," ","9.5"," ","TV ","   ","# "," 400","    ","    ","   "," 300mm","5.6","  75mm"," 300mm","Sunset Darwin NT"
"E601100","0100"," 2 ","","Mon  4 Apr 1994"," 7:34:07","  90"," ","6.7"," ","TV ","   ","# "," 400","    ","    ","   ","  32mm","2.8","  28mm","  70mm","Start in Darwin NT"
"E601100","0100"," 3 ","","Mon  4 Apr 1994"," 7:34:22","  90"," ","5.6"," ","TV ","   ","# "," 400","    ","    ","   ","  30mm","2.8","  28mm","  70mm",""
"E601100","0100"," 4 ","","Mon  4 Apr 1994"," 8:39:36","  90"," "," 22"," ","TV ","   ","# "," 400","    ","    ","   ","  28mm","2.8","  28mm","  70mm","Hard Croc Cafe"
"E601100","0100"," 5 ","","Mon  4 Apr 1994"," 8:44:57","  90"," "," 19"," ","TV ","   ","# "," 400","    ","    ","   ","  32mm","2.8","  28mm","  70mm","Hard Croc Cafe"
"E601100","0100"," 6 ","","Mon  4 Apr 1994"," 9:49:00"," 250"," "," 13"," ","TV ","   ","# "," 400","    ","    ","   ","  32mm","2.8","  28mm","  70mm","Termitenhügel"
"E601100","0100"," 7 ","","Mon  4 Apr 1994","10:23:00"," 180"," ","9.5"," ","TV ","   ","# "," 400","    ","    ","   ","  32mm","2.8","  28mm","  70mm",""
"E601100","0100"," 8 ","","Mon  4 Apr 1994","10:27:38"," 180"," ","4.5"," ","TV ","   ","# "," 400","    ","    ","   ","  70mm","2.8","  28mm","  70mm","Baumpilze"
"E601100","0100"," 9 ","","Mon  4 Apr 1994","12:32:53","  90"," "," 22"," ","TV ","   ","# "," 400","    ","    ","   ","  44mm","2.8","  28mm","  70mm","Krokodilwarnschild"
"E601100","0100","10 ","","Mon  4 Apr 1994","12:52:14","  45"," ","4.5"," ","TV ","   ","# "," 400","    ","    ","   ","  28mm","2.8","  28mm","  70mm","Salatzubereitung"
