NO. FR TV AV DATE TIME ISO

+/-



6117	6>	125	13	10/	4/01	12	24	100
6118	2	125	13	10/	4/01	12	24	100
6119	3	125	13	10/	4/01	12	24	100
6120	4	125	13	10/	4/01	12	26	100
6121	5	180	13	10/	4/01	12	26	100
6122	6	125	16	II/	4/01	8	40	100
6123	7	60	13	II/	4/01	8	40	100
6124	8	90	13	II/	4/01	8	40	100
6125	9	90	13	II/	4/01	8	41	100
6126	10	90	13	II/	4/01	8	41	100
6127	11	250	13	II/	4/01	8	43	100
6128	12	60	13	II/	4/01	8	43	100
6129	13	125	13	II/	4/01	8	44	100
6130	14	125	13	II/	4/01	8	44	100
6131	15	180	13	II/	4/01	10	50	100
6132	16	350	13	II/	4/01	10	51	100
6133	17	125	13	II/	4/01	10	51	100
6134	18	125	16	II/	4/01	10	55	100
6135	19	90	16	II/	4/01	10	58	100
6136	20	125	16	II/	4/01	10	59	100
6137	21	250	16	II/	4/01	11	08	100
6138	22	180	16	II/	4/01	11	09	100
6139	23	90	16	II/	4/01	11	36	100
6140	24	60	16	II/	4/01	11	36	100
6141	25	125	16	II/	4/01	11	41	100
6142	26	90	13	II/	4/01	15	32	100
6143	27	125	13	II/	4/01	15	32	100
6144	28	20	3.5	II/	4/01	15	32	100
6145	29	30	3.5	II/	4/01	18	07	100
6146	30	20	3.5	II/	4/01	18	07	100
6147	31	45	3.5	II/	4:/01	18	07	100
6148	32	15	3.5	II/	4/01	18	08	100
6149	33	45	3.5	II/	4/01	18	09	100
6150	34	60	3.5	II/	4/01	18	09	100
6151	35	20	3.5	II/	4/01	18	11	100
6152	36	45	13	12/	4/01	6	44	100
6153	36	60	13	12/	4/01	6	50	100
6154	36	60	13	12/	4/01	6	50	100
6155	1	125	13	12/	4/01	7	01	100
6156	2	180	11	12 /	4/01	7	01	10Q
6157	3	180	11	12/	4/01	7	01	100
6158	4	180	11	12/	4/01	7	01	100
6159	5	90	11	12/	4/01	7	02	100
6160	6	20	11	12/	4/01	17	39	100
6161	7	125	8.0	12/	4/01	17	40	100
6162	8	90	8.0	12/	4/01	17	40	100
6163	9	45	8.0	12/	4/01	17	50	100
6164	10	30	8.0	12/	4/01	17	50	100
6165	11	15	8.0	12/	4/01	17	50	100
6166	12	15	4.5	12/	4/01	17	51	100
6167	13	90	13	13/	4/01	8	43	100
6168	14	350	13	13/	4/01	8	50	100
6169	15	500	13	13 /	4/01	8	51	100
6170	16	180	13	13 /	4/01	8	51	100
6171	17	60	13	13/	4/01	8	52	100
6172	18	125	13	13/	4/01	8	54	100
6173	19	45	13	13/	4/01	8	55	100
6174	20	45	13	13/	4/01	8	56	100



ASH AE- METER I
	MODE	-ING	
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	16
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	15
OFF	. AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	8
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15

