NO. FR TV AV DATE TIME ISO

+/-



1649	6>	30	9.5	18/	6/01	7:19	100
1650	2	30	9.5	18/	6/01	7:19	100
1651	3	20	9.5	18/	6/01	7:20	100
1652	4	125	13	18/	6/01	7:59	100
1653	5	90	13	18/	6/01	7:59	100
1654	6	125	13	18/	6/01	8:00	100
1655	7	30	5.6	18/	6/01	9:34	100
1656	8	250	9.5	18/	6/01	10:05	100
1657	9	90	13	18/	6/01	10:06	100
1658	10	60	13	18/	6/01	10:07	100
1659	11	125	13	18/	6/01	11:46	100
1660	12	125	13	18/	6/01	11:47	100
1661	13	45	2.8	19/	6/01	6:23	100
1662	14	30	13	19/	6/01	6:44	100
1663	15	20	13	19/	6/01	6:45	100
1664	16	125	13	19/	6/01	7:19	100
1665	17'	60	13	19/	6/01	7:19	100
1666	18	180	13	19/	6/01	7:19	100
1667	19	45	11	19/	6/01	7:19	100
1668	20	30	13	19/	6/01	8:20	100
1669	21	45	13	20/	6/01	8:26	100
1670	22	60	13	20/	6/01	8:32	100
1671	23	30	4.5	20/	6/01	8:33	100
1672	24	90	13	20/	6/01	8:37	100
1673	25	125	1-3	20/	6/01	8:43	100
1674	26	30	8.0	20/	6/01	8:55	100
1675	27	30	8.0	20/	6/01	8:56	100
1676	28	15	4.0	20/	6/01	11:46	100
1677	29	9&	13	20/	6/01	15:48	100
1678	30	20	13	20/	6/01	15:48	100
1679	31	30	13	20/	6/01	15:49	100
1680	32	15	13	20/	6/01	15:50	100
1681	33	10	13	20/	6/01	15:51	100
1682	34	125	9-5	20/	6/01	17:17	100
1683	35	30	5.6	20/	6/01	17:18	100
1684	36	125	5.6	20/	6/01	17:19	100
1685	1	30	8.0	21/	6/01	7:47	100
1686	2	30	8,0	21/	6/01	7:47	100
1687	3	45	8.0	21/	6/01	7:47	100
1688	4	90	8.0	21/	6/01	7:45	100
1689	5	45	9.5	21/	6/01	7:49L	1&0
1690	6	45	9.5	21/	6/01	7:50	100
1691	7	45	9.5	21/	6/01	10:24	100
1692	8	90	9.5	21/	6/01	10:25	100
1693	9	90	9.5	21/	6/01	10:34	100
1694	10	250	9.5	21/	6/01	10:47	100
1695	11	250	9.5	21/	6/01	11:00	100
1696	12	1000	4.5	21/	6/01	11:19	100
1697	13	60	8.0	21/	6/01	11:23	100
1698	14	30	4.0	21/	6/01	17:25	100
1699	15	20	3.5	22/	6/01	12:32	100
1700	16	1"	2.8	25/	6/01	17:23	100
-1701	17	0"7	2.8	25/	6/01	17:23	100
1702	18	0"7	2.8	25/	6/01	17:23	100
1703	19	0"7	2.8	25/	6/01	17:23	100
1704	20	90	3.5	30/	6/01	17:46	100
1705	21	90	3.5	30/	6/01	17:46	100
1706	22	180	4.5	30/	6/01	17:48	100



ASH AE- METER	LENS
	MODE	-ING	
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	8
&?y	AV	PART	8
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	AV	PART	15
OFF	PROG	PART	15
OFF	PROG	PART	15
OFF	PROG	AVER	15
OFF	PROG	AVER	15
OFF	PROG	AVER	15
OFF	PROG	AVER	15
OFF	PROG	PART	28
OFF	PROG	PART	28
OFF	PROG	PART	28

