N0.	FR	TV	AV	DATE	TIME ISO	+/- FLASH AE- METER 	LENS
	MODE -ING
1877	13	60	5.6	10/11/01	17:56	100		ATTL	PROG	PART 17
1878	14	60	5.6	10/11/01	17:56	100		ATTL	PROG	PART 17
1879	15	60	4.0	10/11/01	17:57	100		ATTL	PROG	PART 17
1880	16	60	5.6	10/11/01	17:59	100		ATTL	PROG	PART 17
1881	17	60	4.0	10/11/01	18:03	100		TTL	PROG	PART 17
1882	18	60	4.0	10/11/01	18:03	100		TTL	PROG	PART 17
1883	19	60	3.5	10/11/01	18:04	100		TTL	PROG	PART 17
1884	20	60	3.5	10/11/01	18:04	100		TTL	PROG	PART 17
1885	21	60	6.7	11/11/01	10:34	100		ATTL	PROG	PART	28
1886	22	60	5.6	11/11/01	10:35	100		ATTL	PROG	PART	28
1887	23	60	5.6	11/11/01	10:35	100		ATTL	PROG	PART	28
1888	24	60	5.6	11/11/01	10:35	100		ATTL	PROG	PART	28
1889	25	60	6.7	11/11/01	10:36	100		ATTL	PROG	PART	28
1890	26	60	2.8	11/11/01	10:43	100		OFF	TV	PART	50
1891	27	45	1.4	11/11/01	10:45	100		ATTL	TV	PART	50
1892	28	60	2.5	11/11/01	10:47	100		OFF	TV	PART	50
1893	29	60	6.7	11/11/01	12:11	100		OFF	TV	PART	50
1894	30	60	8.0	11/11/01	12:11	100		OFF	TV	PART	50
1895	31	30	8.0	11/11/01	12:13	100		OFF	TV	PART	28
1896	32	30	8.0	11/11/01	12:13	100		OFF	TV	PART	28
1897	33	60	5.6	11/11/01	15:24	100		ATTL	PROG	PART	28
1898	34	60	5.6	11/11/01	15:28	100		ATTL	PROG	PART	28
1899	35	60	5.6	11/11/01	15:34	100		ATTL	PROG	PART	28
1900	36	60	5.6	11/11/01	16:21	100	1	ATTL	PROG	PART	28
